epoch,accuracy,learning_rate,loss,precision,recall,top_3_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top_3_accuracy
10,0.17299577593803406,9.999999747378752e-05,2.2437610626220703,0.0,0.0,0.40928271412849426,0.25,1.9251563549041748,0.0,0.0,0.65625
11,0.2109704613685608,9.999999747378752e-05,2.0584092140197754,0.0,0.0,0.5780590772628784,0.25,1.9246217012405396,0.0,0.0,0.65625
12,0.19409282505512238,9.999999747378752e-05,2.044840097427368,0.0,0.0,0.5738396644592285,0.25,1.9246537685394287,0.0,0.0,0.65625
13,0.3080168664455414,9.999999747378752e-05,1.9624296426773071,0.0,0.0,0.6329113841056824,0.25,1.9248886108398438,0.0,0.0,0.65625
14,0.29113924503326416,9.999999747378752e-05,1.947964072227478,0.0,0.0,0.649789035320282,0.25,1.9243210554122925,0.0,0.0,0.65625
15,0.25738397240638733,9.999999747378752e-05,1.9078526496887207,0.5,0.004219409078359604,0.6582278609275818,0.25,1.9234604835510254,0.0,0.0,0.65625
